"Site","Control","N","P","Fe","Zn","NP","NPFe","PFe","PFeMo","PFeNi","NFe","NFeZn","NxP","NPxFe","PxFe","Mo","Ni","NxFe","NFexZn","NxPcl","NPxFecl","PxFecl","PFexMocl","PFexNicl","NxFecl","NFexZncl"
"Chance",0.99,0.173868421082896,0.0800427076735364,0.206849911828109,0.371911806479534,0.220311261336698,0.366325199770894,0.300852535641526,0.188196521236976,0.237982403899508,0.217064505237828,0.233193887167711,-0.0267676767676763,-0.0338383838383839,0.0378787878787875,-0.143939393939394,-0.0823232323232322,-0.177272727272728,-0.43030303030303,"No lim","No lim","No lim","No lim","No lim","No lim","Antag NFe"
"Chapel",1.398,0.250519326068389,0.492416874355921,0.132457855215998,0.183751149603549,0.0351406501519059,0.583246090725209,0.422252356572078,-0.166144107349805,-0.274888720991872,-0.49521139596444,0.259388563809169,-0.88519313304721,0.61444921316166,-0.252503576537911,-0.678469241773963,-0.765736766809728,-0.816881258941345,0.484978540772532,"Antag N","Simult","Single P","Antag Mo","Antag Ni","Neg","Rescue"
"Old Woman",2.756,-0.185228535585264,-0.0177546532584036,0.136791674447408,0.0934612622147518,0.0894877470528915,0.111798383746512,0.0781429473659008,0.0243739664795834,0.0826072404945863,-0.0414874311619723,0.0921385106991355,0.280297532656023,-0.121915820029028,-0.0477140783744554,-0.0566037735849057,0.0048379293662312,-0.0181422351233671,0.0391872278664733,"No lim","No lim","No lim","No lim","No lim","No lim","No lim"
"Fish",2.284,-0.022134591146755,-0.147894749043867,-0.102251906198996,-0.0782929259497489,-0.0651224627600037,-0.138799183559382,-0.128789089964281,-0.156049738173173,-0.0707457203143659,-0.0935603980805372,-0.141821855885968,0.0963222416812612,0.0306479859894922,0.113835376532399,-0.0236427320490368,0.0525394045534151,0.0297723292469358,0.0323992994746059,"No lim","No lim","No lim","No lim","No lim","No lim","No lim"
"Breakneck",2.02,0.130897977734211,-0.109770666135379,0.106943420618331,0.129811611521991,0.113151866280815,0.0871763798775545,0.0292703823001132,0.0898950041165481,0.156622868972647,0.0989040740589141,0.153867754376227,0.083910891089109,-0.141584158415841,0.0207920792079207,0.0643564356435643,0.139851485148515,-0.148762376237624,-0.0762376237623762,"No lim","No lim","No lim","No lim","No lim","No lim","No lim"
"Mahoning",0.438,1.00451902413413,0.190658096169721,-0.247408173313841,0.480225183317274,0.841409717761981,1.04386836292268,0.419070760163943,0,0.624643426226301,0.793013176900131,0.713486864797068,-0.621004566210046,0.73972602739726,0.529680365296804,-0.52054794520548,0.347031963470319,-0.301369863013698,-0.785388127853881,"Antag P","Serial NP : Fe","Simult","Antag Mo","Single PFe","Single N","Ind sub"
"Rocky",0.37,0.553159987592551,0.150282203049338,0.0397403286495141,0.446070863034107,0.173271721274037,-0.271595934700156,0.593774706746742,0.320907720080101,0.69584623752911,0.233896343090471,0.256107726853186,-0.711711711711711,-0.467567567567567,0.608108108108108,-0.432432432432432,0.194594594594595,-0.515765765765766,-0.533783783783784,"Antag P","Neg","Simult","Antag Mo","Single PFe","Antag Fe","Antag NFe"
"CRO",0.205,0.662184954955978,0.214324287880128,0.0591888713903307,-0.158224005214894,-0.346276236717834,-0.381367556529104,-0.247836163904581,0.149260694533066,-0.0585941642660529,0.453093157097419,-0.130053128248198,-1.47073170731707,-0.0853658536585367,-0.519512195121951,0.380487804878049,0.16260162601626,-0.426829268292682,-0.548780487804878,"Antag P","Neg","Neg","No lim","No lim","Antag Fe","Antag Zn"
"FRY",0.766,-0.124989093697627,-0.191501949138916,-0.317719666406318,0.0155443544378004,-0.0157898017326352,0.0583181704210866,-0.13390445735558,-0.0345319835423759,0.00520834510713826,0.0993371898656319,0.246370401924026,0.276109660574413,0.347911227154047,0.321148825065274,0.0913838120104438,0.130548302872063,0.494125326370758,0.159268929503916,"No lim","No lim","No lim","No lim","No lim","Simult","No lim"
"NB Au Sable",0.566,0.119744205141607,0.135296618149092,-0.104183352484812,-0.152385454302689,1.09743373814867,0.989186460218448,0.192283549522702,0.122874098150534,0.243431060689643,0.125994225486778,0.177598997839781,1.7243816254417,-0.208480565371024,0.166077738515902,-0.0812720848056538,0.0636042402826854,0.106007067137809,0.201413427561837,"Simult","Single NP","No lim","No lim","No lim","No lim","No lim"
"Manistee",1.334,0.17050792185203,0.179318551534185,-0.141487568342628,-0.160668627194472,0.415905173104848,0.623297227383501,0.0806191762431409,0.146194504109152,0.156503873768014,0.240090589876279,0.205294037937446,0.133433283358321,0.481259370314843,0.0194902548725636,0.0734632683658172,0.0854572713643179,0.217391304347826,0.104947526236882,"No lim","Serial NP : Fe","No lim","No lim","No lim","No lim","No lim"
"EB Au Sable",0.8,0.452666709592459,0.0559076319382959,-0.0618754037180875,0.0792731808945079,0.55675455565439,0.749054812498241,0,0.122217632724249,-0.0202027073175195,0.34889475661977,0.535030312462808,0.115,0.43,0.00250000000000028,0.13,-0.02,-0.0949999999999998,0.2075,"Single N","Serial NP : Fe","No lim","No lim","No lim","Single N","Single NFe"
"Stony",0.41,-0.301324848855568,0.231240761546829,0.107796570455707,0.0781647728493363,0.188400602870337,-0.312374685042153,0.171422266335919,0.302810954048081,0.346870943842111,0.213339551217589,0.581443190979944,0.207317073170732,-0.589430894308943,-0.186991869918699,0.166666666666667,0.227642276422764,0.384146341463415,0.469512195121951,"No lim","Neg","No lim","No lim","No lim","No lim","Simult"
"Paint",2.058,-0.348792721009253,-0.118512164379899,-0.0477702762686864,0.0390711916219025,-0.066289324035924,-0.0335999986754567,0.120694245863842,0.124133630165751,-0.00194552590549133,-0.13617266753185,-0.029587957185496,0.342079689018464,0.0777453838678329,0.286686103012634,0.00388726919339165,-0.13022351797862,0.213799805636541,0.0583090379008747,"Neg","No lim","No lim","No lim","No lim","Neg","No lim"
"Elm",0.688,0.675551418669566,0.064720190681172,0.39768296766611,0.122937686245048,0.879578497761897,0.684388000470064,0.194839775151358,0.20673052167288,-0.0848994437864862,0.897510837222559,0.622387799547272,0.377906976744186,-0.915697674418605,-0.340116279069767,0.0145348837209302,-0.296511627906977,NA,-0.72093023255814,"Single N","Ind sub","Single Fe","No lim","No lim",NA,"Antag Zn"
"Cedar",1.834,-0.0560684954759231,-0.0231670592815344,0.0475604180176254,0.0268978023198983,0.068483836098001,0.0654241702740456,0.0906398279952096,-0.0187127089321541,-0.00218340698094362,-0.005833046068493,0.0311350967954132,0.148309705561614,-0.0519810977826246,0.0690657942566339,-0.113413304252999,-0.0970556161395857,NA,0.0101781170483464,"No lim","No lim","No lim","No lim","No lim",NA,"No lim"
"Pine",0.438,0.294508037522181,-0.0611955610269198,-0.0230957147946494,-0.0515336501151829,0.251060717763244,0.167756331883037,0.116259806115862,0.138371259723293,-0.00457666702741187,0.277354958295931,-0.0137933221323359,0.0022831050228308,-0.0799086757990866,0.205479452054794,0.0251141552511416,-0.127853881278539,NA,-0.28310502283105,"No lim","No lim","No lim","No lim","No lim",NA,"No lim"
"Mountain",0.776,0.398568529049104,0.419117197276492,0.246913770648122,0.328710231285724,0.569872288102612,0.470325742310205,0.275364250580431,0.321261407272733,0.191727355080831,0.570843633492244,0.687007235596324,-0.242268041237114,-0.447594501718213,-0.483676975945017,0.0618556701030928,-0.105670103092783,NA,-0.171176975945017,"Ind add","Antag Fe","Antag Fe","No lim","No lim",NA,"Ind add"
"Lost",1.696,0.196857689043285,0.0324854551444883,0.200241787027525,-0.0323575263394748,-0.24610564560604,0.117783035656384,0.115684398999462,0.0606246218164348,0.174824974043402,0.364135254041112,0.0639487246002735,-0.46875,0.121462264150943,-0.132075471698113,-0.0601415094339622,0.0683962264150944,NA,-0.341391509433962,"Neg","No lim","No lim","No lim","No lim",NA,"Single NFe"
"Yellow Dog",0.53,0.21632792477915,-0.0503007384747989,-0.0345523815066597,0.0112571545246345,0.295200904865808,0.150369956987352,-0.0152094186635288,0.100442783030845,-0.0582689081239759,0.18859116980755,0.0866968621262097,0.150943396226415,-0.147169811320755,0.0679245283018868,0.120754716981132,-0.0415094339622642,NA,-0.128301886792453,"No lim","No lim","No lim","No lim","No lim",NA,"No lim"
"Big Pup",2.092,0.0886830191699425,0.105169292786988,0.0402864783080921,-0.145899284232692,-0.00671465352564098,0.068355319664272,0.105599492836643,0.106674183966409,0.239265285031289,0.125612934932803,0.0494273097787531,-0.210325047801147,0.0363288718929257,-0.0406309751434034,0.00119502868068831,0.158938814531549,NA,0.0525812619502865,"No lim","No lim","No lim","No lim","No lim",NA,"No lim"
"Clark",0.358,0.12088189156045,0.211907478047284,0.0383608678724464,0.092003550821763,0.346003682886765,0.197109256948334,0.140490362948826,0.140490362948826,0.159721724876714,0.154948446124056,-0.00139762426663797,0.0488826815642457,-0.23463687150838,-0.124301675977654,1.55059081651558e-16,0.0223463687150838,NA,-0.265363128491621,"No lim","Single NP","No lim","No lim","No lim",NA,"No lim"
"Big Garlic",1.518,0.00525625388882712,0.122602322092332,0.0563529365511316,-0.0039604012160969,0.0349550150335766,0.0143887374520997,0.0966268356890717,0.101400114441729,0.113234572088732,0.0613218908743187,0.0438214442392179,-0.100131752305665,-0.0790513833992096,-0.0869565217391305,0.00527009222661397,0.0184453227931489,NA,-0.0144927536231886,"No lim","No lim","No lim","No lim","No lim",NA,"No lim"
"Salmon Trout",1.806,0.0601685214664527,0.0153849188394795,0.0684759420363088,0.0316102612686058,-0.0782908285661299,-0.0758984829275101,0.0528424813743798,0.0197374828383213,-0.00332779009267469,0.124772212534641,-0.0964182131586867,-0.152823920265781,-0.0686600221483943,-0.0321151716500553,-0.0343300110741971,-0.0575858250276854,NA,-0.256921373200443,"No lim","No lim","No lim","No lim","No lim",NA,"No lim"
"Trap Rock",0.394,-0.0628479036596638,0.651690466881599,0.351585874431261,0.068654404738078,0.768885440186428,1.20600120258733,0.754667191184149,0.723149430863744,0.737819620611538,0.307783251772868,0.450137548159757,0.299492385786802,0.761421319796954,-0.213197969543147,-0.0659898477157364,-0.0355329949238582,NA,0.137055837563452,"Single P","Ind sup","Ind add","Single PFe","Single PFe",NA,"No lim"
"Cliff",0.798,-0.0357180826020792,0.300754154019134,0.0441248049089379,0.217614509835064,-0.0126105075919297,0.170133971602069,0.188982697160737,0.247408173313841,0.184824687012073,0.00997514505681952,-0.0754584112515934,-0.328320802005013,0.152882205513785,-0.18796992481203,0.0726817042606516,-0.00501253132832095,NA,-0.325814536340852,"No lim","No lim","No lim","No lim","No lim",NA,"No lim"
"Trout Brook",1.752,0.33042003854488,-0.0857668217574251,0.0479200314192956,-0.0491326885776448,0.279083567196549,0.348508124422991,-0.138763582454825,-0.128975576088662,-0.127677717373062,0.365086952164767,0.243035708132809,0.0125570776255704,0.0459474885844748,-0.0964611872146119,0.00856164383561651,0.00970319634703204,NA,-0.117579908675799,"Single N","No lim","No lim","No lim","No lim",NA,"Single NFe"
"Gratiot",1.466,0.263517969561635,0.381068040744047,-0.0988635524102176,-0.0662680741607663,0.326482926251776,0.296510652715984,0.219590178708317,0.156292216711128,0.242330736342191,0.188441943121278,0.0669443900604789,-0.379263301500682,0.0532060027285126,-0.124147339699864,-0.0763983628922238,0.0286493860845838,NA,-0.0740109140518419,"Single P","Single NP","Single P","No lim","No lim",NA,"No lim"
"Central",0.156,1.21924027645672,0.0621317811070062,0.0127390257774297,0,1.45443216628711,1.92555792020641,0.143100843640673,-0.0662493855412007,0.526093095896779,1.22302099929663,0.956497152352196,0.833333333333333,2.56410256410256,0.0769230769230766,-0.217948717948718,0.538461538461539,NA,-0.794871794871796,"Serial N : P","Serial NP : Fe","No lim","No lim","Simult",NA,"Antag Zn"
"Hills",0.634,0.249911411565314,0.463674494194088,0.29553757239209,0.332408108200417,0.569035009851914,0.823123365015546,0.633015339515321,0.286103540158731,0.59546826692007,0.487204991604282,0.19693559558755,-0.107255520504732,0.167192429022082,-0.0504731861198739,-0.55205047318612,-0.0694006309148266,NA,-0.804416403785489,"Single P","Single NP","Single P","Antag Mo","Single PFe",NA,"Ind sub"
"Pilgrim",1.378,-0.0116789648641464,0.0754547737041005,0.0201156207970063,-0.0536641417372276,0.17406306924464,0.0144094712201516,-0.0014524330803151,-0.285266028754176,-0.172213167473194,0.00867057455113336,-0.0309530974770129,0.123367198838897,-0.195936139332366,-0.100145137880987,-0.246734397677794,-0.156748911465893,NA,0.0130624092888249,"No lim","No lim","No lim","No lim","No lim",NA,"No lim"
"Tenderfoot",0.742,-0.325215082096578,0.246059555442548,0.308356366667925,0.324073782563334,0.149906027496313,0.0677342180797554,0.542136220737355,0.329904702874128,0.311322261081303,0.0802500260115859,-0.0726576455760755,0.160377358490566,-0.452830188679245,0.0795148247978433,-0.328840970350404,-0.3544474393531,NA,-0.536388140161725,"Neg","Neg","No lim","Single PFe","Single PFe",NA,"Neg"
"Shady",0.795,0.792594018427724,-0.107809353684112,-0.0142520227072014,-0.0417396061727653,0.91826542060487,0.767575984311915,-0.0483185772708078,0.207934132650681,-0.0921704597996572,0.786167719982196,0.880435418587079,0.398023360287511,-0.336253369272237,0.0691823899371068,0.278301886792453,-0.040880503144654,NA,0.257861635220126,"Serial N : P","Single NP","No lim","No lim","No lim",NA,"Single NFe"
"Chagrin",0.56625,1.43108199203349,0.0196727655987047,-0.00220994565080273,-0.0544352065550171,1.94874435029119,1.81359439783125,-0.024582243405336,0.076470363991838,0.0282935086426118,1.43055414826299,1.31777441468313,2.8167770419426,-0.885209713024282,-0.0419426048565124,0.103752759381898,0.0529801324503312,NA,-0.392935982339955,"Serial N : P","Antag Fe","No lim","No lim","No lim",NA,"Antag Zn"
"Cemetary",0.90125,1.00970780831762,0.0926588304827048,0.0752301215173243,0.000462214013313447,1.29143484258192,1.3973289558436,0.0661223662518805,0.139063910194248,0.158697490072225,1.03777574734176,1.23698630576842,0.796116504854369,0.328247803975959,-0.106862162340665,0.0808401030315037,0.103625916385972,NA,0.621821544151641,"Serial N : P","Single NP","No lim","No lim","No lim",NA,"Serial NFe : Zn"
"U36",0.16,1.72053195993969,0.0246926125903714,0.281412459438185,-0.207639364778244,1.75570041941235,1.24918514714748,0.51581316527703,0.371563556432483,0.336472236621213,1.77706875381805,1.71154313537125,0.175,-2.625,0.325,-0.225,-0.275,NA,-0.187500000000002,"Single N","Antag Fe","No lim","Single PFe","Single PFe",NA,"Single NFe"
"Beaver Dam",0.154,0.612021635747577,0.144830947878456,0.523729028601899,0.310154928303839,0.1221026968009,0.718789611173283,0.230905556649699,0.34754246037546,0.19948936041632,0.929194136710063,0.712440383494624,-0.87012987012987,0.233766233766233,-0.584415584415585,0.155844155844156,-0.038961038961039,NA,-0.857142857142857,"Antag P","Single Fe","Antag P","No lim","No lim",NA,"Antag Zn"
"Crouch",0.176,-0.0828876598057676,0.857794525192547,0,0.32668423025505,0.34294475112683,0.54654370636807,-0.0706175672139533,0.390197635977376,0.267595313885044,-0.0828876598057677,-0.159848700941896,-0.869318181818182,0.318181818181818,-1.42613636363636,0.545454545454546,0.375,NA,-0.454545454545454,"Antag N","Single NP","Antag Fe","Simult","No lim",NA,"Antag NFe"
"U8",0.61,-0.709676482511156,-0.322149075089659,0.217224428475015,-0.167352191685794,-0.54982778156926,-0.0855221734381621,-0.00328407520118988,-0.0538850884949794,-0.10354067894084,-0.308665724752372,-0.427006951882919,0.360655737704918,0.098360655737705,0.0295081967213115,-0.0491803278688523,-0.0950819672131147,NA,0.0721311475409833,"Neg","Neg","No lim","No lim","No lim",NA,"No lim"
"McQueen",0.892,0.00447428039492111,0.301598244707121,0.166881596521298,0.075548318085697,0.324550071885324,-0.0505854967881062,0.264431804831847,0.114289146402128,0.255788708675827,0.170669479838235,0.126217717267401,0.0269058295964126,-0.614349775784753,-0.230941704035874,-0.181614349775785,-0.0112107623318386,NA,-0.130044843049327,"No lim","Neg","No lim","No lim","No lim",NA,"No lim"
"TC5",0.982,0.436874305485856,-0.232864784176074,-0.37044402041407,0.175167719437336,0.188750271203205,0.115290681358394,-0.376361197442159,-0.0373487393025875,0.205473068932665,0.213730754171646,-0.022658023892584,-0.132382892057026,0.224032586558045,0.203665987780041,0.276985743380855,0.541751527494908,NA,-0.45213849287169,"Single N","Neg","Neg","No lim","Simult",NA,"Neg"
