Site,Mg_ugL,Ca_ugL,Fe_ugL,V_ugL,Mn_ugL,Co_ugL,Ni_ugL,Cu_ugL,Zn_ugL,Mo_ugL,Cd_ugL,Se_ugL,NO3_ugL,SRP_ugL,NH4_ugL,TDN_ugL,TDP_ugL,TN_ugL,TP_ugL,Alk_mgL,pH,Cond_uScm,TNTP,NO3SRP,TNFe,TPFe
Beaver Dam,3101,20179,216.5,0.09,292,6.23,11.92,0.73,20.63,0.08,0.12,0.57,40,8,14,145,5,239,5,NA,6.40,196.2,106,12,4.4,0.042
Big Garlic,3966,24281,209.5,0.75,16,0.06,0.08,0.39,0.30,0.70,0.03,0.57,177,4,13,NA,5,277,5,44,6.37,155.2,123,102,5.3,0.043
Big Pup,2600,13676,50.5,0.61,11,0.03,0.14,0.66,1.20,1.82,0.03,0.57,177,5,8,228,5,187,14,37,5.60,112.7,30,79,14.8,0.490
Breakneck,14409,32661,207.0,0.42,117,0.20,0.89,0.92,0.30,1.23,0.03,0.57,542,17,76,1014,20,1037,27,72,7.75,583.5,87,70,20.0,0.231
Cedar,4213,25016,224.0,1.18,27,0.07,0.19,0.24,0.55,0.42,0.03,0.57,67,6,8,175,5,170,706,59,5.88,166.2,0.5,27,3.0,5.674
Cemetary,11409,42270,30.5,0.16,4,0.05,0.43,0.74,1.57,1.00,0.03,0.57,194,7,11,248,5,279,8,124,7.77,361.9,81,63,36.5,0.452
Central,5916,21912,528.5,0.32,264,0.26,0.27,3.54,1.15,0.19,0.03,0.57,4,6,10,260,5,205,5,84,NA,251.2,91,1.4,1.5,0.017
Chagrin,15836,61902,237.8,0.22,28,0.15,0.88,1.10,54.96,2.67,0.03,0.57,83,4,14,208,7,150,7,123,7.87,616.75,48,50,2.5,0.053
Chance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8611,10,23,2323,14,1170,253,NA,8.72,1032,10,1954,NA,NA
Chapel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3690,21,66,2816,22,2924,240,NA,7.64,289.1,27,397,NA,NA
Clark,2712,13516,51.0,0.84,4,0.03,0.05,0.17,0.30,0.08,0.03,0.57,39,5,8,134,5,86,5,36,5.94,111.3,38,16,6.7,0.177
Cliff,6108,28630,339.0,1.59,38,0.06,0.22,27.89,0.30,1.50,0.03,0.57,21,6,13,226,5,124,12,68,NA,193.5,24,8,1.5,0.061
CRO,2587,4731,76.0,0.11,6,0.09,0.25,0.56,0.30,0.08,0.03,0.57,206,7,5,505,8,405,14,17,7.27,61.805,64,63,21.3,0.334
Crouch,425,2315,195.0,0.76,26,0.55,0.55,0.71,1.29,0.36,0.03,0.57,489,55,17,599,58,812,58,NA,7.04,46.9,31,20,16.6,0.536
EB Au Sable,9429,25263,77.5,0.18,22,0.03,0.05,0.05,0.30,1.41,0.03,0.57,23,2,17,153,5,162,11,102,7.82,269,33,25,8.4,0.254
Elm,3757,17770,719.5,1.78,33,0.06,0.28,0.56,1.54,0.08,0.03,0.57,70,6,20,209,20,317,8,55,6.51,131,94,27,1.8,0.019
Fish,19110,63502,208.0,0.20,62,0.09,0.73,0.80,0.30,2.23,0.03,1.45,315,5,76,750,5,733,16,154,7.85,891.8,104,134,14.1,0.135
FRY,20263,41496,37.5,0.19,4,0.06,0.09,0.36,0.30,0.12,0.03,1.02,309,4,8,379,5,393,14,80,8.17,473.7,62,153,41.8,0.677
Gratiot,4227,21553,162.0,1.68,15,0.03,0.21,1.81,6.26,0.33,0.03,0.57,58,6,5,190,5,324,5,49,7.87,163.4,144,23,8.0,0.056
Hills,3701,22595,62.0,1.15,8,0.03,0.14,9.58,0.52,0.17,0.03,0.57,142,6,3,222,5,317,57,56,7.84,238.8,12,51,20.4,1.659
Lost,3738,16519,232.5,0.46,12,0.07,0.10,0.32,0.30,3.25,0.03,0.57,70,5,12,222,5,179,100,43,4.44,119.5,4.0,33,3.1,0.776
Mahoning,9554,26147,291.0,0.24,64,0.18,1.05,0.91,0.65,0.84,0.03,0.57,281,9,41,705,17,715,17,53,7.96,477.2,96,69,9.8,0.102
Manistee,9351,35815,92.0,0.13,15,0.03,0.05,0.05,0.30,2.00,0.03,0.57,33,2,16,126,5,120,10,50,8.02,305.9,26,37,5.2,0.198
McQueen,589,2360,201.5,0.28,14,0.34,0.64,0.36,4.18,0.25,0.03,0.57,414,22,3,522,22,788,23,3,6.16,33.8,75,42,15.6,0.209
Mountain,3068,16353,14.0,0.42,3,0.03,0.09,0.47,0.30,0.26,0.03,0.57,39,5,11,136,5,146,5,41,5.39,118.4,65,18,41.6,0.643
NB Au Sable,9620,26687,44.0,0.22,9,0.05,0.24,0.09,0.30,1.35,0.07,0.57,4,2,18,216,22,226,8,57,7.99,335.7,64,3.9,20.5,0.320
Old Woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,4,23,757,11,946,11,NA,8.31,482.8,197,220,NA,NA
Paint,24046,51925,222.0,0.28,24,0.03,0.32,2.06,0.30,2.39,0.03,0.57,114,2,42,421,5,428,9,55,8.15,603.2,100,127,7.7,0.077
Pilgrim,7399,39559,113.5,2.86,19,0.03,0.34,3.09,7.22,0.14,0.03,0.57,96,5,3,189,5,192,5,66,7.86,299.9,85,40,6.7,0.079
Pine,2419,12923,31.5,0.28,8,0.03,0.16,0.62,0.30,0.25,0.03,0.57,58,4,8,177,5,193,11,41,6.75,92.95,40,33,24.4,0.608
Rocky,12704,39160,229.5,0.55,23,0.38,2.11,3.07,2.08,3.63,0.03,0.86,2560,37,127,2759,20,3591,33,76,7.11,751.05,238,152,62.4,0.262
Salmon Trout,4765,24260,112.5,1.66,20,0.03,0.09,0.41,0.97,0.32,0.03,0.57,47,5,8,139,25,139,103,46,5.40,161,3,19,4.9,1.657
Shady,11761,37036,170.0,0.24,29,0.14,0.71,1.32,0.74,1.18,0.03,1.06,65,5,10,115,5,163,7,102,7.72,458.7,54,29,3.8,0.071
Stony,24730,42848,234.0,0.59,43,0.10,0.48,0.50,0.30,3.64,0.03,0.57,193,4,90,645,10,607,16,103,7.96,570.3,83,113,10.4,0.125
TC5,227,614,64.0,0.19,9,0.31,0.51,0.14,1.34,0.08,0.03,0.57,43,87,3,90,89,195,79,3,5.72,12.3,5.5,1.1,12.2,2.217
Tenderfoot,3783,12569,120.5,0.24,70,0.03,0.30,0.87,1.65,0.38,0.03,0.57,43,8,8,221,5,443,466,47,5.20,110.3,2.1,11,14.7,6.969
Trap Rock,3427,18661,73.5,1.35,9,0.03,0.11,6.33,0.30,0.21,0.03,0.57,138,6,3,232,9,209,38,48,NA,199.4,12,53,11.3,0.923
Trout Brook,10932,52989,568.0,2.08,36,0.23,0.72,0.94,1.20,1.07,0.03,0.57,52,7,3,205,5,201,11,100,7.14,275.1,41,16,1.4,0.035
U36,234,2209,165.0,0.24,5,0.23,0.50,0.05,0.64,0.08,0.03,0.57,9,26,3,64,25,107,27,NA,6.04,19.9,8.7,0.7,2.6,0.298
U8,777,2522,145.5,0.23,9,0.23,0.43,0.09,2.30,0.08,0.03,1.02,1054,52,265,1281,12,1584,12,3,6.89,49.6,299,45,43.4,0.145
Yellow Dog,2566,11021,796.0,0.83,18,0.03,0.42,0.33,0.30,1.95,0.03,0.57,79,5,18,271,5,196,76,39,5.16,95.8,5.7,32,1.0,0.173